Activitati ale industriei CAEN Rev.2 - total  sectiuni si diviziuni  mari grupe industriale, Luni, UM: Procente, Valoare
Industria bunurilor de consum, Luna ianuarie 2016, Procente, 95.6
Industria bunurilor de consum, Luna februarie 2016, Procente, 106.1
Industria bunurilor de consum, Luna martie 2016, Procente, 112.3
Industria bunurilor de consum, Luna aprilie 2016, Procente, 114.8
Industria bunurilor de consum, Luna mai 2016, Procente, 109.2
Industria bunurilor de consum, Luna iunie 2016, Procente, 114.1
Industria bunurilor de consum, Luna iulie 2016, Procente, 111.1
Industria bunurilor de consum, Luna august 2016, Procente, 103.2
Industria bunurilor de consum, Luna septembrie 2016, Procente, 115.1
Industria bunurilor de consum, Luna octombrie 2016, Procente, 114.2
Industria bunurilor de consum, Luna noiembrie 2016, Procente, 116.3
Industria bunurilor de consum, Luna decembrie 2016, Procente, 96.6
Industria bunurilor de consum, Luna ianuarie 2017, Procente, 95.3
Industria bunurilor de consum, Luna februarie 2017, Procente, 105.6
Industria bunurilor de consum, Luna martie 2017, Procente, 123.2
Industria bunurilor de consum, Luna aprilie 2017, Procente, 106.2
Industria bunurilor de consum, Luna mai 2017, Procente, 121
Industria bunurilor de consum, Luna iunie 2017, Procente, 111.6
Industria bunurilor de consum, Luna iulie 2017, Procente, 110.4
Industria bunurilor de consum, Luna august 2017, Procente, 105.8
Industria bunurilor de consum, Luna septembrie 2017, Procente, 115.6
Industria bunurilor de consum, Luna octombrie 2017, Procente, 120.4
Industria bunurilor de consum, Luna noiembrie 2017, Procente, 121.9
Industria bunurilor de consum, Luna decembrie 2017, Procente, 97.2
Industria bunurilor de consum, Luna ianuarie 2018, Procente, 102.3
Industria bunurilor de consum, Luna februarie 2018, Procente, 106
Industria bunurilor de consum, Luna martie 2018, Procente, 117.4
Industria bunurilor de consum, Luna aprilie 2018, Procente, 102.3
Industria bunurilor de consum, Luna mai 2018, Procente, 116.6
Industria bunurilor de consum, Luna iunie 2018, Procente, 114.1
Industria bunurilor de consum, Luna iulie 2018, Procente, 111.5
Industria bunurilor de consum, Luna august 2018, Procente, 103.1
Industria bunurilor de consum, Luna septembrie 2018, Procente, 108.7
Industria bunurilor de consum, Luna octombrie 2018, Procente, 119.2
Industria bunurilor de consum, Luna noiembrie 2018, Procente, 116.1
Industria bunurilor de consum, Luna decembrie 2018, Procente, 92.2
Industria bunurilor de consum, Luna ianuarie 2019, Procente, 95.5
Industria bunurilor de consum, Luna februarie 2019, Procente, 101.6
Industria bunurilor de consum, Luna martie 2019, Procente, 107.9
Industria bunurilor de consum, Luna aprilie 2019, Procente, 103.5
Industria bunurilor de consum, Luna mai 2019, Procente, 112.4
Industria bunurilor de consum, Luna iunie 2019, Procente, 105.3
Industria bunurilor de consum, Luna iulie 2019, Procente, 110.8
Industria bunurilor de consum, Luna august 2019, Procente, 96.3
Industria bunurilor de consum, Luna septembrie 2019, Procente, 109.9
Industria bunurilor de consum, Luna octombrie 2019, Procente, 117.4
Industria bunurilor de consum, Luna noiembrie 2019, Procente, 111.2
Industria bunurilor de consum, Luna decembrie 2019, Procente, 92.9
Industria bunurilor de consum, Luna ianuarie 2020, Procente, 93.8
Industria bunurilor de consum, Luna februarie 2020, Procente, 99.7
Industria bunurilor de consum, Luna martie 2020, Procente, 96.2
Industria bunurilor de consum, Luna aprilie 2020, Procente, 68.1
Industria bunurilor de consum, Luna mai 2020, Procente, 83.9
Industria bunurilor de consum, Luna iunie 2020, Procente, 101.8
Industria bunurilor de consum, Luna iulie 2020, Procente, 109.3
Industria bunurilor de consum, Luna august 2020, Procente, 93.8
Industria bunurilor de consum, Luna septembrie 2020, Procente, 108.4
Industria bunurilor de consum, Luna octombrie 2020, Procente, 111.1
Industria bunurilor de consum, Luna noiembrie 2020, Procente, 103.4
Industria bunurilor de consum, Luna decembrie 2020, Procente, 93.4
Industria bunurilor de consum, Luna ianuarie 2021, Procente, 91.6
Industria bunurilor de consum, Luna februarie 2021, Procente, 93.2
Industria bunurilor de consum, Luna martie 2021, Procente, 103.2
Industria bunurilor de consum, Luna aprilie 2021, Procente, 100.6
Industria bunurilor de consum, Luna mai 2021, Procente, 96.4
Industria bunurilor de consum, Luna iunie 2021, Procente, 101.2
Industria bunurilor de consum, Luna iulie 2021, Procente, 102.8
Industria bunurilor de consum, Luna august 2021, Procente, 96.1
Industria bunurilor de consum, Luna septembrie 2021, Procente, 107.2
Industria bunurilor de consum, Luna octombrie 2021, Procente, 104.9
Industria bunurilor de consum, Luna noiembrie 2021, Procente, 107.1
Industria bunurilor de consum, Luna decembrie 2021, Procente, 95.8
Industria bunurilor de consum, Luna ianuarie 2022, Procente, 94.2
Industria bunurilor de consum, Luna februarie 2022, Procente, 99.7
Industria bunurilor de consum, Luna martie 2022, Procente, 115
Industria bunurilor de consum, Luna aprilie 2022, Procente, 105.1
Industria bunurilor de consum, Luna mai 2022, Procente, 111.8
Industria bunurilor de consum, Luna iunie 2022, Procente, 104.5
Industria bunurilor de consum, Luna iulie 2022, Procente, 105.2
Industria bunurilor de consum, Luna august 2022, Procente, 95.4
Industria bunurilor de consum, Luna septembrie 2022, Procente, 108.1
Industria bunurilor de consum, Luna octombrie 2022, Procente, 105.7
Industria bunurilor de consum, Luna noiembrie 2022, Procente, 108.7
Industria bunurilor de consum, Luna decembrie 2022, Procente, 90.4
Industria bunurilor de consum, Luna ianuarie 2023, Procente, 90.4
Industria bunurilor de consum, Luna februarie 2023, Procente, 96.4
Industria bunurilor de consum, Luna martie 2023, Procente, 109.6
Industria bunurilor de consum, Luna aprilie 2023, Procente, 90.3
Industria bunurilor de consum, Luna mai 2023, Procente, 106.5
Industria bunurilor de consum, Luna iunie 2023, Procente, 101.1
Industria bunurilor de consum, Luna iulie 2023, Procente, 98.9
Industria bunurilor de consum, Luna august 2023, Procente, 93.1
Industria bunurilor de consum, Luna septembrie 2023, Procente, 104
Industria bunurilor de consum, Luna octombrie 2023, Procente, 105.8
Industria bunurilor de consum, Luna noiembrie 2023, Procente, 106.1
Industria bunurilor de consum, Luna decembrie 2023, Procente, 85.3
Industria bunurilor de consum, Luna ianuarie 2024, Procente, 87.4
Industria bunurilor de consum, Luna februarie 2024, Procente, 94.1
Industria bunurilor de consum, Luna martie 2024, Procente, 98.1
Industria bunurilor de consum, Luna aprilie 2024, Procente, 104.2
Industria bunurilor de consum, Luna mai 2024, Procente, 96.2
Industria bunurilor de consum, Luna iunie 2024, Procente, 97.2
Industria bunurilor de consum, Luna iulie 2024, Procente, 102.3
Industria bunurilor de consum, Luna august 2024, Procente, 91.5
Industria bunurilor de consum, Luna septembrie 2024, Procente, 100.2
Industria bunurilor de consum, Luna octombrie 2024, Procente, 109.4
Industria bunurilor de consum, Luna noiembrie 2024, Procente, 103.7
Industria bunurilor de consum, Luna decembrie 2024, Procente, 85.4
Industria bunurilor de consum, Luna ianuarie 2025, Procente, 89.5
Industria bunurilor de consum, Luna februarie 2025, Procente, 93.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2005, Procente, 122.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2005, Procente, 130.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2005, Procente, 135.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2005, Procente, 130.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2005, Procente, 125.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2005, Procente, 135.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2005, Procente, 123
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2005, Procente, 117.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2005, Procente, 131.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2005, Procente, 126.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2005, Procente, 134.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2005, Procente, 118.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2006, Procente, 127
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2006, Procente, 136.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2006, Procente, 148.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2006, Procente, 123.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2006, Procente, 139.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2006, Procente, 144.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2006, Procente, 129.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2006, Procente, 120
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2006, Procente, 133.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2006, Procente, 136.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2006, Procente, 139.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2006, Procente, 118.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2007, Procente, 130.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2007, Procente, 140.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2007, Procente, 150.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2007, Procente, 121.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2007, Procente, 142.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2007, Procente, 129.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2007, Procente, 130.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2007, Procente, 113.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2007, Procente, 121
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2007, Procente, 132.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2007, Procente, 138
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2007, Procente, 106.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2008, Procente, 122.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2008, Procente, 137
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2008, Procente, 135.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2008, Procente, 130.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2008, Procente, 132.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2008, Procente, 128.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2008, Procente, 125
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2008, Procente, 101
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2008, Procente, 122.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2008, Procente, 126.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2008, Procente, 119.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2008, Procente, 98.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2009, Procente, 104.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2009, Procente, 112
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2009, Procente, 111.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2009, Procente, 103
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2009, Procente, 106.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2009, Procente, 105.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2009, Procente, 102.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2009, Procente, 87.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2009, Procente, 103.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2009, Procente, 108.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2009, Procente, 105.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2009, Procente, 90.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2010, Procente, 91.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2010, Procente, 98.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2010, Procente, 112.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2010, Procente, 100
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2010, Procente, 102.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2010, Procente, 108
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2010, Procente, 108
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2010, Procente, 95.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2010, Procente, 112
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2010, Procente, 116.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2010, Procente, 118.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2010, Procente, 97.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2011, Procente, 104.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2011, Procente, 108
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2011, Procente, 118.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2011, Procente, 101
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2011, Procente, 111.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2011, Procente, 109.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2011, Procente, 109.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2011, Procente, 100.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2011, Procente, 113.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2011, Procente, 108.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2011, Procente, 111.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2011, Procente, 93.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2012, Procente, 101.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2012, Procente, 106.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2012, Procente, 117.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2012, Procente, 98.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2012, Procente, 115.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2012, Procente, 109
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2012, Procente, 108.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2012, Procente, 99.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2012, Procente, 108.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2012, Procente, 118.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2012, Procente, 118.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2012, Procente, 87.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2013, Procente, 109.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2013, Procente, 114.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2013, Procente, 119.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2013, Procente, 118.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2013, Procente, 111.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2013, Procente, 113
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2013, Procente, 120.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2013, Procente, 105.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2013, Procente, 123
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2013, Procente, 127.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2013, Procente, 127.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2013, Procente, 100.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2014, Procente, 120.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2014, Procente, 123.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2014, Procente, 125.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2014, Procente, 118.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2014, Procente, 126.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2014, Procente, 123
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2014, Procente, 124.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2014, Procente, 105.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2014, Procente, 126.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2014, Procente, 136.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2014, Procente, 126.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2014, Procente, 100.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2015, Procente, 116.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2015, Procente, 123.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2015, Procente, 130
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2015, Procente, 115.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2015, Procente, 119.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2015, Procente, 124.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2015, Procente, 128.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2015, Procente, 102
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2015, Procente, 125.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2015, Procente, 127.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2015, Procente, 122.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2015, Procente, 101.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2016, Procente, 115.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2016, Procente, 128.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2016, Procente, 130.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2016, Procente, 125
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2016, Procente, 123.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2016, Procente, 126.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2016, Procente, 121
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2016, Procente, 108.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2016, Procente, 129.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2016, Procente, 125.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2016, Procente, 129.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2016, Procente, 101.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2017, Procente, 112.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2017, Procente, 126.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2017, Procente, 142.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2017, Procente, 116.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2017, Procente, 137.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2017, Procente, 124.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2017, Procente, 122
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2017, Procente, 108
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2017, Procente, 128.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2017, Procente, 130.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2017, Procente, 135.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2017, Procente, 101.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2018, Procente, 117.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2018, Procente, 123.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2018, Procente, 131.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2018, Procente, 111.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2018, Procente, 126.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2018, Procente, 126.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2018, Procente, 121.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2018, Procente, 103
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2018, Procente, 115.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2018, Procente, 128.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2018, Procente, 124.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2018, Procente, 93.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2019, Procente, 105.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2019, Procente, 115.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2019, Procente, 118.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2019, Procente, 108.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2019, Procente, 117.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2019, Procente, 109.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2019, Procente, 115.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2019, Procente, 93.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2019, Procente, 114.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2019, Procente, 123.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2019, Procente, 117.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2019, Procente, 90.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2020, Procente, 101
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2020, Procente, 108.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2020, Procente, 94.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2020, Procente, 59.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2020, Procente, 79.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2020, Procente, 102.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2020, Procente, 110.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2020, Procente, 89.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2020, Procente, 111
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2020, Procente, 117.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2020, Procente, 108.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2020, Procente, 94.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2021, Procente, 97.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2021, Procente, 98.5
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2021, Procente, 106.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2021, Procente, 99.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2021, Procente, 95
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2021, Procente, 99.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2021, Procente, 99.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2021, Procente, 87.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2021, Procente, 107.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2021, Procente, 106.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2021, Procente, 108.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2021, Procente, 94.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2022, Procente, 99.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2022, Procente, 107.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2022, Procente, 123.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2022, Procente, 108.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2022, Procente, 112.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2022, Procente, 104.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2022, Procente, 103.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2022, Procente, 85.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2022, Procente, 110.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2022, Procente, 107.9
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2022, Procente, 109.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2022, Procente, 88.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2023, Procente, 93
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2023, Procente, 100.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2023, Procente, 112.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2023, Procente, 85.1
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2023, Procente, 104.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2023, Procente, 97.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2023, Procente, 92.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2023, Procente, 79.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2023, Procente, 101.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2023, Procente, 101.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna noiembrie 2023, Procente, 100.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna decembrie 2023, Procente, 77.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna ianuarie 2024, Procente, 84.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna februarie 2024, Procente, 92.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna martie 2024, Procente, 93.8
Industria bunurilor de consum (excl.diviz 10 11 12), Luna aprilie 2024, Procente, 96.7
Industria bunurilor de consum (excl.diviz 10 11 12), Luna mai 2024, Procente, 87.3
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iunie 2024, Procente, 88.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna iulie 2024, Procente, 91.4
Industria bunurilor de consum (excl.diviz 10 11 12), Luna august 2024, Procente, 74.2
Industria bunurilor de consum (excl.diviz 10 11 12), Luna septembrie 2024, Procente, 90.6
Industria bunurilor de consum (excl.diviz 10 11 12), Luna octombrie 2024, Procente, 102
